,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
31059,1,266904,1,715,902823,2,1,9705.39,14.3,40,12,0,86944,516230,0,0
35300,0,266904,1,737,758385,0,1,10238.15,18.6,0,7,0,207309,344894,0,0
64491,1,266904,1,626,949316,0,1,10600.67,20.3,12,15,0,322791,1044010,0,0
67056,1,266904,1,661,901588,2,1,7565.99,16,55,5,0,88407,131230,0,0
72193,1,266904,1,717,1018077,0,1,18664.84,17,0,13,0,258039,436172,0,0
82665,0,266904,1,733,1728810,0,1,53881.34,25.5,0,11,0,835240,2010646,0,0
865,1,266882,0,698,1382915,2,1,21976.73,22.5,34,10,0,257678,336006,0,0
9735,0,266882,1,707,1536568,0,0,10871.23,26.1,7,8,0,194693,453596,0,0
10027,0,266882,0,738,864329,0,1,13252.88,16.9,29,7,0,158992,282348,0,0
9359,0,266860,0,716,931190,1,1,4865.52,23,49,6,0,116318,142384,0,0
22345,1,266860,0,715,712044,1,1,13291.26,30.9,0,10,1,155097,537658,1,0
67003,0,266860,1,727,1440390,0,1,21005.64,20.9,0,20,0,572033,880792,0,0
75549,1,266860,0,734,1555625,0,1,25667.67,19.9,41,9,0,125286,188914,0,0
58076,0,266816,0,750,864158,0,1,16706.89,22.4,0,17,0,252586,1772496,0,0
78839,0,266816,0,731,869497,2,1,14129.35,22.7,62,8,0,223383,507188,0,0
84217,0,266816,1,702,1382630,2,1,15116.78,17.4,0,10,0,324140,388916,0,0
719,0,266794,1,686,576042,1,1,12336.89,5.8,0,9,0,233206,342232,0,0
9248,1,266794,0,745,970140,0,1,23525.99,18.7,0,11,0,692550,1487750,0,0
7824,0,266772,0,720,1555169,0,4,5235.64,13.3,0,5,0,203319,266926,0,0
27368,0,266772,0,704,998374,0,1,15142.05,9.1,0,13,1,165300,417912,1,0
40242,1,266772,0,716,1343965,2,1,20943.32,12,0,8,0,341335,509322,0,0
45364,1,266772,0,744,959975,0,4,13839.6,12.6,0,8,0,190969,277794,0,0
49418,0,266772,0,745,1383751,0,1,9928.45,16,0,8,0,258989,409090,0,0
53354,0,266772,0,713,1113571,0,1,18095.6,15.9,0,7,0,549708,642268,0,0
63845,0,266772,0,749,1343965,1,1,13887.48,16.5,0,7,0,549081,953194,0,0
79568,1,266772,0,748,1587792,0,1,37048.67,16.9,0,18,0,491587,1455762,0,0
80117,0,266772,0,697,781964,2,1,9970.06,15.5,34,13,0,89794,553036,0,0
42662,1,266750,1,678,979070,2,1,29209.08,18,0,9,0,976733,1198054,0,0
79606,0,266750,0,731,2063723,0,1,2665.51,23,43,4,0,76703,122320,0,0
34253,1,266728,1,609,1551008,2,1,29081.4,20.6,0,17,0,427215,626978,0,0
42001,0,266728,0,713,1247730,0,1,34728.2,15.8,0,11,0,123785,466906,0,0
75103,0,266728,0,747,1247730,2,1,13932.89,19.7,0,13,0,267843,1319692,0,0
42855,0,266706,0,744,658084,2,1,5017.9,12.7,0,7,0,225055,854370,0,0
2193,0,266684,0,723,2303256,0,3,43377.95,11.8,45,11,1,232408,364628,1,0
7670,0,266684,0,748,2495194,0,0,15470.18,19.2,32,14,0,276184,1133990,0,0
14159,0,266684,0,725,1162382,1,1,20341.59,15,52,10,0,153805,222332,0,0
19442,0,266684,0,740,1257192,2,1,11629.14,19.1,0,5,0,174040,257708,0,0
19573,1,266684,1,701,1232758,2,1,35236.45,32,34,8,1,254277,328240,1,0
31874,0,266684,0,715,1310601,0,0,25119.9,10.1,4,11,0,166668,679470,0,0
36462,0,266684,0,740,1247597,2,1,21521.11,10.9,37,28,0,239837,862466,0,0
44131,0,266684,0,692,998070,0,1,24452.81,13.7,0,7,0,219469,284570,0,0
49657,0,266684,1,699,1631473,0,1,13187.71,15.9,0,6,0,168967,195646,0,0
56711,0,266684,0,725,767752,2,1,12347.91,15.4,0,12,1,76418,465674,1,0
61428,0,266684,0,739,2111318,0,1,35188.57,20.1,63,25,1,904590,1454750,0,0
66363,0,266684,0,730,965352,0,1,11664.67,15.4,33,13,0,201286,468952,0,0
67862,0,266684,1,610,671783,0,1,12987.83,32.3,65,10,1,162640,386694,1,0
32736,0,266662,1,712,1439402,0,1,23150.17,24.4,0,9,0,675792,989252,0,0
43831,1,266662,1,685,1036355,2,1,11572.71,11.2,0,8,0,440363,573562,0,0
54098,0,266662,0,727,678775,2,1,16856.04,20.4,59,10,0,297635,818598,0,0
58875,0,266662,0,742,959595,2,1,18632.16,18.4,54,12,0,116337,841962,0,0
78814,0,266662,0,728,1170704,1,1,13658.34,21.8,23,15,0,204725,1062974,0,0
27866,0,266640,0,750,2533080,0,1,13741.94,30.4,0,9,0,380038,878328,0,0
28297,0,266640,1,672,671650,2,1,11697.92,8.4,0,15,0,225587,546436,0,0
52843,0,266640,0,731,959500,0,1,6428.65,20.7,0,10,0,264746,515218,0,0
58209,0,266640,1,740,1093830,2,11,14037.58,35.1,0,9,1,23541,216370,1,0
64065,0,266640,1,727,1334351,2,4,14677.88,14.3,0,9,0,71345,417252,0,0
15504,0,266618,1,664,1601111,0,1,8072.15,12,0,19,0,191197,385022,0,0
36109,0,266618,0,704,1104527,2,1,17856.39,21.3,0,17,0,270123,470338,0,0
39340,0,266618,0,724,1036165,2,1,11829.4,18,62,10,1,113278,252252,1,0
78735,0,266618,0,716,1016975,0,1,27373.3,8.9,0,11,0,187739,295350,0,0
13685,0,266596,0,750,1247103,0,0,8688.13,17.3,0,7,0,138776,991892,0,0
27133,0,266596,0,733,1285483,0,1,15961.33,17.5,68,5,0,37525,55572,0,0
28960,0,266596,0,735,1016861,2,1,18057.79,27.8,0,12,0,208582,343046,0,0
43396,0,266596,0,746,4988412,0,4,997.69,13.3,52,7,0,7752,332420,0,0
49322,1,266596,0,746,1534896,0,1,1688.34,37.5,0,6,1,51623,317988,1,0
54658,0,266596,0,725,594776,2,1,8277.35,20.6,0,8,0,273239,424094,0,0
60259,1,266596,0,736,834594,0,1,7998.43,16.7,0,11,0,170639,874280,0,0
65951,1,266596,0,733,1534896,0,1,12790.8,14.7,0,13,0,336813,586454,0,0
21294,0,266552,0,739,1074317,2,1,5756.62,18.7,40,8,0,179550,390786,0,0
45670,0,266552,0,714,2001783,1,1,24021.32,28,8,9,2,38399,125928,0,1
64601,0,266552,0,747,1970604,0,1,16175.46,17.7,22,10,0,234099,524304,0,0
68806,1,266552,1,655,575529,2,1,11366.75,6.8,0,9,0,210273,382228,0,0
69255,1,266552,0,729,724451,2,1,8874.52,14,0,4,0,289218,355498,0,0
41758,0,266530,1,730,1266046,0,1,21522.63,14.5,60,12,1,431186,872828,1,0
42099,0,266530,0,725,1649694,0,1,26394.99,15.1,0,13,0,775067,1256926,0,0
51807,0,266530,0,739,972192,2,1,6367.85,15.6,18,7,0,207423,377608,0,0
52802,0,266530,0,732,767296,0,1,8728.03,10,0,8,0,119377,275330,0,0
77554,0,266530,0,706,1534592,2,1,6266.39,22.6,32,8,0,232712,566104,0,0
80404,0,266530,0,702,2493712,2,1,7356.42,11.9,66,6,0,341316,499620,0,0
3845,0,266508,0,727,767220,0,1,9142.8,18.3,0,10,1,143621,379676,1,0
45622,0,266508,0,704,1160520,0,1,20502.52,18.3,0,12,0,767182,1041392,0,0
54839,0,266508,0,738,1649523,0,1,26804.82,19.9,0,10,0,125229,159346,0,0
77398,1,266508,0,716,2004367,2,1,12944.89,16.1,0,9,1,167865,218394,1,0
82772,1,266508,0,736,736478,2,1,13624.71,20.5,0,16,0,402116,561660,0,0
83203,0,266508,0,726,1496079,0,1,12330.24,19.2,0,12,1,378537,490842,1,0
1696,0,266486,0,706,1304141,0,5,28147.93,16.4,0,10,0,761672,1070322,0,0
5937,0,266486,0,745,1054823,0,1,10548.23,20.4,41,11,0,146908,567006,0,0
18117,0,266486,1,656,690422,2,1,10759.13,10.2,0,6,0,185896,226578,0,0
21693,0,266486,0,750,1726074,2,6,7939.91,21.5,47,8,0,47158,122166,0,0
31751,1,266486,0,728,736440,0,1,18288.26,19.5,0,17,0,451364,767448,0,0
33421,0,266486,0,722,524381,2,1,11755.11,10.2,0,8,0,218215,285516,0,0
81802,1,266486,0,728,2190187,2,1,41066.22,31.4,11,15,0,492898,1214290,0,0
83551,1,266486,0,716,1217843,2,1,28010.37,14,0,14,0,308674,900306,0,0
8863,0,266464,0,733,1252765,1,4,17851.83,21.6,0,7,0,587005,724592,0,0
16110,0,266464,0,729,1668371,1,1,15988.5,21.4,23,12,0,63327,228426,0,0
45429,0,266464,0,715,1656211,2,1,23049.09,22,56,16,0,274645,379500,0,0
48870,0,266464,0,691,1169773,0,4,24272.88,21.5,0,19,0,231040,696674,0,0
56621,0,266464,0,738,2109437,2,1,45528.75,25.4,60,16,0,649439,1421508,0,0
61575,0,266464,0,737,2109437,0,1,23028,18.3,0,7,0,766118,961092,0,0
71527,0,266464,0,743,1720526,2,1,32976.78,28.7,13,19,0,748448,1069904,0,0
76865,0,266464,0,742,1534136,2,1,17770.51,7.6,0,7,0,375744,581658,0,0
13926,0,266420,0,730,1438110,2,1,27204.2,20,55,19,0,597854,914474,0,0
39234,0,266420,0,748,862866,1,1,10354.43,15.6,0,6,0,198189,370744,0,0
41106,0,266420,0,699,578170,0,1,18453.37,47.7,76,14,0,330486,544324,0,0
44663,0,266420,0,736,1112146,0,1,18257.67,19.2,8,16,0,366225,846406,0,0
45842,0,266420,0,748,3451464,2,1,35665.09,22.8,0,8,1,193553,481976,1,0
52990,0,266420,0,743,805334,0,1,15771.33,15.9,18,10,1,315989,626494,1,0
54785,1,266420,0,745,1917480,0,1,36591.91,23,9,19,0,252833,953612,0,0
68065,1,266420,1,736,1135725,0,1,11073.2,21.7,56,7,0,148124,270952,0,0
72729,0,266420,0,714,1917480,0,4,35792.96,11.2,38,10,0,361057,765688,0,0
83433,0,266420,0,740,1054614,0,1,21619.53,11.1,0,11,0,295070,404338,0,0
24518,1,266398,0,709,1629706,0,1,14803.09,11.5,24,12,0,438843,679316,0,0
31689,0,266398,1,723,958645,2,1,11663.53,20,0,9,0,296039,810326,0,0
39411,0,266398,1,736,651871,0,1,13363.46,17.4,52,12,0,266247,896192,0,0
82571,0,266398,0,742,958645,0,0,9906.03,13.6,0,5,0,39710,199892,0,0
84139,0,266398,0,740,2300748,2,1,18636.15,45.8,37,12,0,331398,477290,0,0
3701,0,266376,0,663,679307,0,1,7529.13,14.8,54,14,0,1109315,2518560,0,0
16906,1,266376,1,715,1533680,0,1,29139.92,14.5,15,18,0,370652,517088,0,0
44980,0,266376,0,704,958626,2,1,4465.76,11.9,0,5,0,130435,204116,0,0
45835,1,266376,0,728,728498,2,1,16269.89,13.7,0,13,0,180329,546590,0,0
66766,0,266376,0,750,1667877,0,1,8228.14,24.7,17,7,0,263397,1930258,0,0
72095,0,266376,0,733,2108810,2,6,5728.88,28.8,0,6,1,177840,374418,1,0
74454,0,266376,1,717,690156,0,1,13860.69,15.7,0,11,0,211394,259842,0,0
13411,0,266354,0,732,734103,2,1,9176.24,10.8,0,5,0,135337,218262,0,0
50425,0,266354,0,721,697756,0,1,5041.27,18.4,58,7,0,110789,193204,0,0
55201,0,266354,1,724,996797,2,1,23840.06,28.1,61,10,0,149359,264044,0,0
13835,0,266332,0,725,1341704,2,1,13752.39,15.4,70,13,0,247190,408320,0,0
21046,0,266332,0,635,831231,2,3,13230.46,23.9,59,11,0,66063,324148,0,0
61139,0,266332,0,730,996702,2,1,21428.96,13,69,16,0,338257,937024,0,0
76635,0,266332,0,738,1801713,0,1,18617.72,22.6,0,10,0,294633,850762,0,0
12389,0,266310,1,638,1154820,2,1,17899.71,15.4,0,9,1,178847,354596,1,0
2594,0,266288,0,725,1648212,0,1,17718.26,30.7,66,11,0,421306,717398,0,0
3028,0,266288,0,712,1426178,2,1,6500.85,12.5,48,10,0,164958,271326,0,0
16973,0,266288,0,697,1437407,2,1,15571.83,19,34,13,0,333469,492514,0,0
22492,0,266288,0,750,1054101,0,1,16162.73,14.9,22,9,0,231515,399520,0,0
27482,0,266288,0,742,787303,2,1,14565.21,17.7,0,7,0,524039,716386,0,0
28481,0,266288,1,717,1629060,0,0,34481.58,16.9,2,17,0,277115,869550,0,0
35261,0,266288,0,746,862448,0,1,4693.19,16.1,0,4,0,227487,466224,0,0
37746,0,266288,0,750,2299836,0,1,8547.72,19,0,12,0,307857,1376298,0,0
61497,1,266288,0,704,577353,2,1,10729.11,28.9,0,7,0,174800,231836,0,0
62041,0,266288,0,727,2395672,1,1,16170.71,39.8,21,17,1,479864,1295184,1,0
67940,1,266288,0,703,689947,2,1,17823.71,9.9,0,11,0,169860,239558,0,0
71832,1,266288,1,704,1399065,2,1,17138.57,11,0,12,0,260870,401676,0,0
8780,0,266266,0,742,728213,2,1,10559.06,21.1,68,9,0,215441,321882,0,0
11610,0,266266,0,721,1849270,0,1,21420.6,13.5,23,13,0,232142,337260,0,0
12471,0,266266,0,735,1149804,2,1,21520.54,12.8,0,7,0,216600,281798,0,0
16928,0,266266,1,683,804859,0,1,21530.04,26.5,0,10,0,405821,477048,0,0
68431,0,266266,0,730,1393650,2,4,2415.66,7.8,0,4,0,93328,129096,0,0
83553,0,266266,0,750,996493,2,1,11459.66,8.6,30,8,0,207974,577500,0,0
2959,0,266244,0,748,996398,2,1,18101.3,17.5,0,12,0,334096,794354,0,0
3543,0,266244,0,709,1053892,2,1,18706.45,11.7,24,11,0,225131,319440,0,0
7181,1,266244,1,691,892924,2,1,15030.9,21.3,0,8,1,178638,257290,1,0
80896,0,266244,1,714,2874225,2,1,45029.62,38.3,41,12,0,412547,654368,0,0
6264,0,266222,0,742,1149576,2,1,4425.86,6.6,0,15,0,136743,659736,0,0
9576,0,266222,0,716,708909,2,1,5824.83,10.2,38,10,0,84113,248446,0,0
58205,0,266222,1,725,1053778,1,1,17826.56,15.8,0,9,1,175788,264352,1,0
61104,0,266222,0,751,2778142,2,1,11737.82,17.1,0,12,0,250135,1167826,0,0
61602,0,266222,0,750,930810,0,1,15203.23,14.9,49,10,0,44897,928422,0,0
81239,1,266222,0,731,656887,1,1,14177.8,11,14,16,0,341506,1133044,0,0
23903,0,266200,0,738,2039137,0,1,25319.4,25,32,10,2,328662,530024,0,2
31487,0,266200,1,698,1283564,0,3,6642.59,19.8,45,4,0,96862,122056,0,0
47760,0,266200,0,732,938733,0,1,13142.11,16.2,47,10,0,166953,394548,0,0
55919,0,266200,0,730,2011568,2,1,21557.21,11,0,17,0,230128,330594,0,0
65158,0,266200,0,747,1697365,0,1,32250.03,20.6,6,15,1,376580,1228304,1,0
64120,0,266178,1,643,1130538,2,4,19501.79,15.7,59,7,0,99598,143968,0,0
79106,0,266178,0,734,1578995,0,1,4881.67,20.9,0,14,1,124507,238678,1,0
3198,0,266156,0,703,1731204,2,1,22938.51,23.4,53,26,1,192698,717442,0,1
19837,0,266156,0,716,1731679,1,1,29294.39,16.9,14,21,1,224504,454476,0,1
26183,1,266156,0,734,927067,2,1,21940.44,10.3,0,14,0,93423,141944,0,0
35459,0,266156,0,744,1532464,0,1,33075.77,12.7,0,12,0,384427,740630,0,0
40202,0,266156,1,674,1973055,0,1,38145.54,13,0,17,0,276412,434874,0,0
46126,1,266156,1,678,708757,2,1,21144.72,12.2,0,20,0,263302,568788,0,0
50315,0,266156,0,694,996094,0,1,19174.99,18.2,12,12,0,90972,172964,0,0
50463,0,266156,0,741,1053493,1,1,18787.2,18.3,0,9,0,327598,518914,0,0
57746,1,266156,0,750,1340830,0,6,14078.81,15.3,0,9,0,322012,1154340,0,0
31831,0,266134,0,747,1053474,2,1,16504.35,20.5,0,9,0,127433,306130,0,0
46903,0,266134,1,723,1340773,2,1,22904.88,15.8,0,9,0,618887,878196,0,0
69591,1,266134,1,713,1149234,0,1,20494.73,14.1,1,13,0,152931,551606,0,0
72579,0,266134,0,735,957695,2,1,15881.91,9.9,19,12,0,150613,221870,0,0
76204,0,266134,0,744,11492340,0,1,34285.5,52.5,51,23,0,386650,5329654,0,0
76531,0,266134,1,672,643378,2,1,11634.46,14.8,30,7,0,188670,358710,0,0
43,0,266112,0,750,919296,2,1,12946.79,21.6,0,9,0,266266,485518,0,0
5412,0,266112,0,740,2901528,0,1,26839.21,33,0,14,0,665019,945956,0,0
14043,0,266112,1,740,957600,0,1,11331.6,15.6,31,8,0,72466,199804,0,0
24993,0,266112,0,742,1455552,0,1,21712.06,28.3,23,10,0,157966,219582,0,0
56045,0,266112,0,717,1907543,0,1,23685.21,18.4,19,17,0,238070,494934,0,0
63052,0,266112,1,739,1647072,0,1,8894.28,23.2,48,6,0,281219,828586,0,0
73939,0,266112,1,699,651168,2,1,3239.5,14,0,5,0,149397,217316,0,0
2498,1,266090,0,731,938353,0,8,3002.76,19.1,0,11,0,111359,578204,0,0
17767,0,266090,0,693,1800117,2,1,18301.18,21.7,48,13,0,318573,579084,0,0
25790,0,266090,0,736,861764,2,1,16445.07,10.1,0,15,0,240369,441782,0,0
71611,0,266090,1,696,670263,2,1,20275.09,11.4,0,12,0,259407,332640,0,0
4126,0,266068,0,745,804232,2,1,10119.78,17,43,12,0,175503,241648,0,0
12980,0,266068,1,726,804232,0,1,17692.99,15.3,0,8,1,33060,248622,1,0
28715,1,266068,0,748,957410,2,1,4204.51,11,0,9,0,191368,845746,0,0
36810,0,266068,0,743,991876,0,4,10414.66,11.4,0,21,0,200260,616682,0,0
37412,0,266068,0,747,1448237,2,1,12430.56,28.1,0,9,0,266855,746372,0,0
63083,1,266068,0,704,1244633,0,1,29974.97,10.8,26,12,0,779684,1297098,0,0
65778,0,266068,0,749,1244633,0,1,26344.64,16.8,0,12,0,208791,673420,0,0
7889,0,266024,0,739,1613879,0,1,12830.32,14.3,40,16,1,188917,428912,1,0
31374,1,266024,0,696,804137,2,1,17892.3,14.9,11,7,0,24776,84128,0,0
32065,0,266024,1,702,1367050,0,1,22556.23,21.8,65,11,0,453302,776468,0,0
50311,1,266024,0,705,732602,0,1,14041.38,11,42,16,1,164141,399300,0,0
78049,0,266024,0,749,2144378,0,1,13116.65,20.4,67,6,0,248786,764104,0,0
78105,1,266024,1,679,689263,2,1,15910.6,6.6,0,7,0,187701,445390,0,0
80886,1,266024,0,718,656431,1,1,15261.75,22.5,0,14,0,310156,492602,0,0
11113,1,266002,0,724,1531552,0,1,39437.54,10.4,0,16,0,261383,449702,0,0
15810,0,266002,0,745,1722996,0,1,24552.75,20.5,0,10,0,467096,716386,0,0
54691,0,266002,0,729,995505,2,1,15347.44,28.7,0,17,0,233073,611930,0,0
57441,0,266002,0,728,547884,2,1,9040.2,20.8,0,27,1,298357,458788,1,0
58895,0,266002,0,740,1052942,2,1,8265.57,24.7,0,9,0,482486,951720,0,0
67922,0,266002,0,747,1397545,0,1,1537.29,17,41,6,0,153691,703384,0,0
77897,0,266002,1,704,1598565,0,1,5248.56,24,60,10,1,106704,363418,0,0
79129,1,266002,0,745,1244386,0,1,16488.2,13,0,11,0,334875,685080,0,0
17221,0,265980,0,724,1014562,0,1,9046.28,15.6,24,18,0,252567,405614,0,0
28203,0,265980,0,744,957125,2,1,8614.22,17.5,0,6,0,328092,740520,0,0
53361,1,265980,1,717,861422,2,4,8255.12,24,53,7,1,58881,130856,1,0
62471,0,265980,1,697,1722825,2,1,16797.52,4.8,0,6,0,218443,412610,0,0
70569,0,265980,1,706,1132191,0,1,19530.48,21.1,79,12,1,107939,390544,1,0
79447,0,265980,0,734,1320842,0,1,10676.67,14.2,0,10,0,395960,1078792,0,0
84163,0,265980,0,738,1225120,1,1,21643.85,11.6,0,8,0,304361,638440,0,0
3352,0,265958,0,731,957030,2,4,16508.72,12.8,0,14,0,160626,567028,0,0
6300,0,265958,1,670,1435545,2,1,22849.02,17,42,19,0,418741,567072,0,0
47466,0,265958,0,744,1244139,2,1,24675.49,31.6,0,9,0,176301,428868,0,0
63263,1,265958,0,712,2105466,2,1,32459.22,11.4,25,10,0,131575,219516,0,0
81140,0,265958,1,670,1148436,2,1,8058.28,13,0,5,1,228171,274934,1,0
84876,0,265958,0,737,1148436,2,1,24499.93,17.4,2,12,0,163818,464926,0,0
17130,1,265936,0,741,708130,2,0,12333.28,15.1,0,10,0,153330,319330,0,0
31017,0,265936,0,729,1244025,0,1,19075.05,24.8,8,10,0,184262,396594,0,0
31719,1,265936,1,718,796841,2,1,13745.55,13.8,0,6,0,101403,151888,0,0
79282,0,265936,0,750,3291864,0,6,2907.76,24.5,0,11,0,197486,2220130,0,0
9865,0,265892,1,680,899422,0,1,15664.93,21.3,13,11,0,348536,755766,0,0
18496,0,265892,0,692,656089,2,1,13941.82,14.6,74,10,0,160474,223608,0,0
31749,1,265892,0,732,803738,2,1,13194.74,10.9,0,5,0,223269,299200,0,0
33031,0,265892,1,745,2717418,2,4,430.16,29.6,0,8,0,49552,370106,0,0
39629,0,265892,1,587,4975568,2,1,34207.03,14.3,5,8,0,56810,67606,0,0
69939,0,265892,0,746,1196050,0,1,10764.45,15.6,62,5,0,300295,608960,0,0
10620,0,265870,1,718,1530792,0,1,12208.07,14.6,0,11,0,342760,520850,0,0
25882,0,265870,0,746,1339443,0,1,12166.46,21.5,20,10,0,222243,689920,0,0
33017,0,265870,0,710,668325,2,1,9300.88,17,21,8,0,185345,227832,0,0
40654,0,265870,0,745,1913490,0,1,24556.36,24.6,0,10,1,170202,895818,1,0
64734,0,265870,0,747,822795,0,1,10764.83,10.5,0,11,0,183160,686334,0,0
72053,1,265870,1,587,768588,2,1,25427.32,27.7,33,14,0,199462,386870,0,0
74429,0,265870,0,721,1722141,2,1,4248.02,15.5,0,4,1,134425,250228,1,0
83846,0,265870,0,731,1645685,2,1,10642.09,18.8,55,7,0,67621,141834,0,0
5966,1,265848,0,717,765320,2,1,5242.48,10,0,6,0,220191,312444,0,0
14300,1,265848,0,736,650522,0,1,5475.23,12.2,0,7,0,172216,755348,0,0
15693,0,265848,1,724,1052315,2,1,14469.26,12.5,0,10,0,624967,957176,0,0
19536,0,265848,0,741,1205379,0,1,11451.11,21.6,27,12,0,335255,596288,0,0
52036,0,265848,0,748,1052315,1,1,21309.45,22.7,45,13,0,276678,838662,0,0
53423,0,265848,0,703,1090581,2,1,9033.74,13,74,9,0,192033,430100,0,0
54774,0,265848,0,742,972895,1,1,14998.79,16,0,7,0,203794,617760,0,0
71397,0,265848,0,737,1067952,0,1,19579.12,20.6,0,11,0,381957,471482,0,0
80328,0,265848,0,736,1052315,0,1,5551.04,17.3,30,10,0,243219,491480,0,0
2516,0,265826,0,702,2518659,0,1,25606.49,17.2,0,8,1,139441,227414,1,0
9599,0,265826,0,741,1645267,0,1,17138.19,19.8,0,15,1,180747,1308054,1,0
13772,0,265826,1,708,1224398,0,1,13060.22,34.5,40,7,1,40432,146278,1,0
17317,0,265826,1,723,1339177,2,1,8637.78,14.7,30,2,0,87058,221562,0,0
25578,0,265826,0,703,1339177,0,1,16293.45,22,70,12,0,212724,471856,0,0
51501,0,265826,0,714,1168747,2,4,27173.42,19.7,0,10,0,571083,1713074,0,0
76799,0,265826,0,740,1033087,0,1,25310.47,20.3,0,15,0,185972,633336,0,0
82523,0,265826,0,751,363641,1,0,2333.39,33.4,0,6,0,61180,701382,0,0
82877,0,265826,0,729,2295732,0,1,28505.32,17.4,30,12,0,434036,565312,0,0
17084,1,265804,1,681,1073462,2,4,15475.88,19,15,10,0,92131,106568,0,0
71092,1,265804,1,722,2218991,0,1,56954.02,21.9,0,21,0,707921,2069914,0,0
53260,0,265782,0,705,1193428,0,1,7797.22,16.8,45,10,1,152361,289190,1,0
11675,0,265760,0,729,1358044,2,1,36327.43,11.4,58,17,0,63327,243628,0,0
26872,0,265760,0,749,1539741,2,1,21428.2,19.1,32,13,0,84379,939334,0,0
48043,1,265760,0,738,690422,1,1,4608.64,15.4,0,6,0,114988,211684,0,0
52447,0,265760,0,728,2295276,0,1,45714.19,30.1,5,7,0,1024347,5757686,0,0
80519,1,265760,0,723,956365,0,1,14983.02,10,0,9,0,320834,449768,0,0
13331,0,265738,0,724,860643,2,6,12192.49,14,0,12,1,122417,299046,1,0
23593,0,265738,0,709,1855160,2,1,13418.94,18.2,40,15,0,262276,369886,0,0
35884,0,265738,1,724,1338778,2,1,15172.83,11.9,50,8,0,78546,148368,0,0
43212,1,265738,0,738,956270,0,1,9642.5,14.1,40,11,0,70737,146278,0,0
45453,0,265738,0,724,735015,0,1,14394.02,15.3,44,12,0,77311,163944,0,0
52125,0,265738,0,732,741836,1,1,20895.06,17,0,12,1,220039,478940,1,0
65743,0,265738,0,721,2696689,2,1,51012.15,21.9,10,17,0,73777,148324,0,0
70078,0,265738,0,721,1147524,2,1,31365.58,14.8,14,15,0,169157,367510,0,0
79273,1,265738,1,685,2295048,0,1,6770.46,13,10,8,0,176130,283646,0,0
1551,1,265716,0,719,658312,2,1,11959.36,27.5,0,9,0,397119,594858,0,0
4356,0,265716,1,709,956175,1,1,22470.16,13.7,0,10,1,45733,297440,1,0
4390,0,265716,1,705,2390447,0,4,14979.98,18.6,0,8,0,370215,457974,0,0
10128,0,265716,0,741,1434272,0,1,15657.33,21.1,0,14,1,292239,777898,1,0
19315,1,265716,1,722,669332,2,1,8701.24,11.5,0,6,0,817,317372,0,0
19944,0,265716,0,729,956175,2,1,4071.7,7.8,0,6,0,92188,285428,0,0
47494,0,265716,0,725,860567,2,1,13553.84,17.7,22,8,0,198645,268070,0,0
663,0,265694,0,739,655633,1,1,12620.75,32.9,0,13,0,427652,868736,0,0
2225,0,265694,1,637,956080,2,1,23264.74,9.5,0,13,0,466127,648714,0,0
27094,0,265694,1,737,1070802,1,1,19631.56,22,30,13,0,345059,737176,0,0
43154,0,265694,0,717,1625336,0,1,11323.24,14.8,59,9,1,159106,367730,1,0
54340,0,265694,0,739,730550,2,1,16559.26,16,0,19,1,239153,537680,1,0
56170,0,265694,1,740,946751,2,1,17751.51,15.6,24,9,1,158840,323224,0,0
78284,0,265694,0,731,658293,2,1,12946.22,7.6,0,15,0,197277,555786,0,0
11540,1,265672,1,717,1433987,2,1,9535.91,16.7,2,8,0,221559,1042866,0,0
34246,0,265672,0,739,2294364,0,1,26002.83,19,21,11,0,131613,247808,0,0
53055,0,265672,0,732,955985,0,1,23262.46,15.4,0,9,0,189601,376574,0,0
63802,0,265672,1,723,1223657,0,1,24881.07,22.6,34,15,1,6479,288640,1,0
13533,0,265628,0,733,1433835,0,1,17325.53,8.5,0,18,0,380608,1049312,0,0
16338,0,265628,0,744,1233100,0,1,19215.84,13.1,0,8,0,231686,393932,0,0
25450,1,265628,0,735,1051479,2,3,8087.54,12.3,7,4,0,12388,57596,0,0
36885,0,265628,0,723,925300,2,1,10255.44,8.7,0,9,0,157339,247852,0,0
64661,1,265628,1,674,764712,2,1,3919.13,16.4,0,4,0,149397,179256,0,0
66667,1,265628,1,687,611762,0,1,2732.58,23.2,0,5,0,90098,121726,0,0
79092,0,265628,0,748,948252,2,1,11434.2,28.3,0,12,0,179892,807378,0,0
6500,0,265606,0,743,821978,0,1,9110.31,16.7,77,6,0,415720,654896,0,0
7237,0,265606,0,739,1816020,2,1,24364.65,29.2,16,8,0,228665,600380,0,0
9669,0,265606,0,714,2293908,0,4,19058.52,18.6,36,11,0,629793,1432684,0,0
18102,0,265606,0,704,2523295,0,0,47101.57,12.6,29,25,2,361000,1318614,2,0
20216,0,265606,0,729,1269295,2,1,21472.28,10.2,56,13,0,105811,235598,0,0
29323,1,265606,1,742,1070498,0,0,668.99,47,0,5,0,4142,686158,0,0
36578,0,265606,0,677,1338113,2,1,18956.68,15.8,29,9,1,134919,305712,1,0
